PERMITNUMBER,PERMITTYPE,PERMITSUBTYPE,ISSUED,DESCRIPTION,SITE_ADDR,CONTRACTOR_NAME,STATUS
DIS18-0046,HURRICANE MICHAEL,ROOF,43397,RE-ROOF 40 SQ,5027 MAGGIE,"PAPILLION CONSTRUCTION, LLC",FINALED
DIS18-0047,HURRICANE MICHAEL,INTERIOR,43397,INTERIROR - DEMO - SEE NOTES,5027 MAGGIE,"PAPILLION CONSTRUCTION, LLC",ISSUED
DIS18-0048,HURRICANE MICHAEL,ROOF,43397,HM- REROOF,129 LEGEND LAKES DR,Gortemoller Construction Co.,ISSUED
DIS18-0049,HURRICANE MICHAEL,ROOF,43397,HM- REROOF,131 LEGEND LAKES DR,Gortemoller Construction Co.,ISSUED
DIS18-0050,HURRICANE MICHAEL,ROOF,43397,HM- REROOF,207 GOLF CIR,Gortemoller Construction Co.,ISSUED
DIS18-0051,HURRICANE MICHAEL,ROOF,43397,HM- REROOF,208 GOLF CIR,Gortemoller Construction Co.,ISSUED
DIS18-0052,HURRICANE MICHAEL,ROOF,43397,REROOF,7422 TALMADGE AVE,SALAZAR ROOFING CORPORATION,FINALED
DIS18-0053,HURRICANE MICHAEL,ROOF,43397,HM- REROOF,205 GOLF CIR,Gortemoller Construction Co.,ISSUED
DIS18-0054,HURRICANE MICHAEL,ROOF,43397,REROOF,138 TREASURE ISLE,OWNER BUILDER,FINALED
DIS18-0055,HURRICANE MICHAEL,ROOF,43397,DAMAGED ROOF REPAIR,5404 SOUTH LAGOON DR,WADE FAMILY HOMES LLC,FINALED
DIS18-0056,HURRICANE MICHAEL,WINDOWS/DOORS,43397,REPLACE 12 WINDOWS,455 MARLIN DR,SCOTT WILSON CONSTRUCTION INC.,FINALED
DIS18-0057,HURRICANE MICHAEL,ROOF,43397,REROOF,455 MARLIN DR,SCOTT WILSON CONSTRUCTION INC.,FINALED
DIS18-0058,HURRICANE MICHAEL,WINDOWS/DOORS,43397,REPLACE 2 WINDOWS/SIDING,473 MARLIN DR,DONALSON CONTRACTING LLC,FINALED
DIS18-0059,HURRICANE MICHAEL,ROOF,43397,REROOF   METAL,473 MARLIN DR,OWNER/BUILDER,FINALED
DIS18-0060,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,2735 12TH ST E,"PEADEN (EC) MECHANICAL, LLC",FINALED
DIS18-0061,HURRICANE MICHAEL,ROOF,43397,REROOF  METAL,323 LAGOON LN,C F T BUILDERS INC,ISSUED
DIS18-0062,HURRICANE MICHAEL,ELECTRICAL,43399,DAMAGED ELECTRICAL SERVC REPAI...,4029 EASY ST,BRANNON ELEC,FINALED
DIS18-0063,HURRICANE MICHAEL,ROOF,43397,DAMAGED ROOF REPAIR,1219 THOMAS DR 103,"CARUSOS, TRACY L",ISSUED
DIS18-0064,HURRICANE MICHAEL,ROOF,43397,HURRICANE REPAIRS,3100 12TH ST,ELO RESTORATION,FINALED
DIS18-0065,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,3715 SHORELINE CIR,DAVE CAPPS ELECTRIC SERVICE,FINALED
DIS18-0066,HURRICANE MICHAEL,EXTERIOR,43397,DAMAGE ALTERATION REPAIR,1219 THOMAS DR 103,"CARUSOS, TRACY L",ISSUED
DIS18-0067,HURRICANE MICHAEL,ELECTRICAL,43397,HURRICANE  REPAIRS,2517 37TH ST E,COMPLETE ELECTRICAL SERV. N.W....,FINALED
DIS18-0068,HURRICANE MICHAEL,ROOF,43397,METAL RE-ROOF 12 SQS,135 TREASURE ISLE V OUT,OWNER/BUILDER,ISSUED
DIS18-0069,HURRICANE MICHAEL,ROOF,43397,HURRICANE REPAIRS,39 GULF LOOP,OWNER/BUILDER,FINALED
DIS18-0070,HURRICANE MICHAEL,ROOF,43397,HURRICANE REPAIRS,46 GULF LOOP,,FINALED
DIS18-0071,HURRICANE MICHAEL,ELECTRICAL,43397,HURRICANE REPAIRS & TEMP POLE,12532 APPALOOSA WAY,A PLUS  ELECTRICAL  CONTRACTOR...,FINALED
DIS18-0072,HURRICANE MICHAEL,ELECTRICAL,43397,COMM - SERVC REPAIR - 200 AMP,3250 HWY 77,"STYLE CREST (EC), INC",ISSUED
DIS18-0073,HURRICANE MICHAEL,ROOF,43397,DAMAGED ROOF REPAIR,364 AMBERJACK DR,"MC CLESKEY, JAMES W JR",WITHDRAWN
DIS18-0074,HURRICANE MICHAEL,EXTERIOR,43397,DAMAGE ALTERATION REPAIR,364 AMBERJACK DR,"MC CLESKEY, JAMES W JR",ISSUED
DIS18-0075,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,4518 BLUEWATER DR,NEW-TECH ELECTRICAL SYSTEMS,FINALED
DIS18-0076,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,7040 OAKENSHAW DR,OWNER/BUILDER,FINALED
DIS18-0077,HURRICANE MICHAEL,ELECTRICAL,43397,MH POLE,3718 EDWARDS RD,"STYLE CREST (EC), INC",ISSUED
DIS18-0078,HURRICANE MICHAEL,ELECTRICAL,43397,SERVICE REPAIR,3107 AMANDA CIR,OWNER/BUILDER,FINALED
DIS18-0079,HURRICANE MICHAEL,ROOF,43397,REPLACEMENT ROOF 60SQ,2631 FEROL LN,BLACKSTONE CONSTRUCTION,ISSUED
DIS18-0080,HURRICANE MICHAEL,ROOF,43397,RE-ROOF 72 SQ,2527 FEROL LN,BLACKSTONE CONSTRUCTION,ISSUED
DIS18-0081,HURRICANE MICHAEL,ROOF,43398,REROOF,130 TREASURE ISLE,OWNER/BUILDER,ISSUED
DIS18-0082,HURRICANE MICHAEL,ELECTRICAL,43398,SERVICE REPAIR,2524 ISLAND VIEW DR,BRYND ELECTRIC LLC,FINALED
DIS18-0083,HURRICANE MICHAEL,EXTERIOR,43398,DEMO HOUSE,133 TREASURE ISLE,OWNER/BUILDER,ISSUED
DIS18-0084,HURRICANE MICHAEL,ROOF,43398,REROOF,134 TREASURE ISLE,OWNER/BUILDER,ISSUED
DIS18-0085,HURRICANE MICHAEL,ELECTRICAL,43390,COMM - ELECTRICAL REPAIR,6824 BAY LINE DR,KEEFE & SONS ELECTRIC INC,FINALED
DIS18-0086,HURRICANE MICHAEL,ELECTRICAL,43398,SERVICE REPAIR,2220 PRETTY BAYOU ISLAND DR,BRYND ELECTRIC LLC,FINALED
DIS18-0087,HURRICANE MICHAEL,ROOF,43398,REROOF,4044 HWY 388 E,OWNER/BUILDER,FINALED
DIS18-0088,HURRICANE MICHAEL,ELECTRICAL,43390,COMM - ELECTRICAL REPAIR C-NOT...,1821 EAST AVE N,FERRELL ELECT,FINALED
DIS18-0089,HURRICANE MICHAEL,EXTERIOR,43390,MOBILE OFFICE,1821 EAST AVE N,BRIGHTSTAR BUILDERS INC,ISSUED
DIS18-0090,HURRICANE MICHAEL,EXTERIOR,43390,EXTERIOR DAMAGE DEMO,1821 EAST AVE N,BRIGHTSTAR BUILDERS,ISSUED
DIS18-0091,HURRICANE MICHAEL,ELECTRICAL,43390,DAMAGED ELECTRICAL REPAIR,6714 BEACH DR,"DILLON, JAY CARL",WITHDRAWN
DIS18-0092,HURRICANE MICHAEL,MECHANICAL,43390,DAMAGED MECHANICAL REPAIR,6714 BEACH DR,"DILLON, JAY CARL",WITHDRAWN
DIS18-0093,HURRICANE MICHAEL,ROOF,NONE,DAMAGED ROOF REPAIR,6714 BEACH DR,"DILLON, JAY CARL",WITHDRAWN
DIS18-0094,HURRICANE MICHAEL,PLUMBING,NONE,DAMAGED PLUMBING REPAIR,6714 BEACH DR,"DILLON, JAY CARL",WITHDRAWN
DIS18-0095,HURRICANE MICHAEL,EXTERIOR,NONE,STRUCTURAL DAMAGE REPAIR,6714 BEACH DR,"DILLON, JAY CARL",WITHDRAWN
DIS18-0096,HURRICANE MICHAEL,ELECTRICAL,43391,DAMAGED ELECTRICAL REPAIR,1809 MOUND AVE,ABOVE ALL CONSTRUCTION AND REM...,ISSUED
DIS18-0097,HURRICANE MICHAEL,ELECTRICAL,43398,SERVICE REPAIR/ POWER IS ON,4442 ASHLAND RD,NEW-TECH ELECTRICAL SYSTEMS,ISSUED
DIS18-0098,HURRICANE MICHAEL,ROOF,43398,DAMAGED ROOF REPAIR,19 GULF DR,"REED, JUDY & BILLY",ISSUED
DIS18-0099,HURRICANE MICHAEL,ROOF,43398,REROOF,4821 HISPANIOLA ST A,"KINGS ROOFING, LLC",FINALED
DIS18-0100,HURRICANE MICHAEL,ELECTRICAL, ,DAMAGED ELECTRICAL REPAIR,2912 KINGSWOOD DR,ABOVE ALL CONSTRUCTION AND REM...,APPROVED
DIS18-0101,HURRICANE MICHAEL,ROOF,43398,DAMAGED ROOF REPAIR,2912 KINGSWOOD DR,ABOVE ALL CONSTRUCTION AND REM...,ISSUED
DIS18-0102,HURRICANE MICHAEL,ELECTRICAL,43398,SERVICE REPAIR,815 NEWMAN POINT RD,DAVE CAPPS ELECTRIC SERVICE,ISSUED
DIS18-0103,HURRICANE MICHAEL,ELECTRICAL, ,DAMAGED ELECTRICAL REPAIR,6533 AZALEA ST,"SOUTHERN ELECTRICAL SERVICES, ...",APPROVED
DIS18-0104,HURRICANE MICHAEL,ELECTRICAL,43398,HM- TEMP POLE,2831 CLEARVIEW AVE N,FAY GIBSON,FINALED
DIS18-0105,HURRICANE MICHAEL,ELECTRICAL,43398,TEMP POLE,4112 HWY 231,KENNY STRANGE ELECTRIC,FINALED
DIS18-0106,HURRICANE MICHAEL,ROOF,43398,REROOF - HM,135 LEGEND LAKES DR,NATIONWIDE ROOFING,FINALED
DIS18-0107,HURRICANE MICHAEL,ELECTRICAL,43398,MISC POLE FOR RV/HOUSE TOTAL L...,1203 YALE AVE,OWNER/BUILDER,FINALED
DIS18-0108,HURRICANE MICHAEL,ELECTRICAL,43398,HM  TEMP POLE,6720 WAVERLY ST,OWNER/BUILDER,FINALED
DIS18-0109,HURRICANE MICHAEL,ROOF, ,DAMAGED ROOF REPAIR,557 GROUPER DR,"HALL, JOYCE ETAL",APPROVED
DIS18-0111,HURRICANE MICHAEL,ROOF,43398,REROOF  SHINGLE,1507 40TH PL E,OWNER/BUILDER,FINALED
DIS18-0112,HURRICANE MICHAEL,ROOF,43398,REROOF,7539 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS18-0113,HURRICANE MICHAEL,ROOF,43398,REROOF,7603 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS18-0114,HURRICANE MICHAEL,ROOF,43398,REROOF,7529 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS18-0115,HURRICANE MICHAEL,ROOF,43398,REROOF,7819 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS18-0116,HURRICANE MICHAEL,ROOF,43398,REROOF,7304 HWY 2311,"SPECIALTY ROOFERS, INC",FINALED
DIS18-0117,HURRICANE MICHAEL,ROOF,43398,REROOF,7507 RESOTA BEACH RD,"SPECIALTY ROOFERS, INC",FINALED
DIS18-0118,HURRICANE MICHAEL,ELECTRICAL,43398,SERVICE REPAIR,4120 HWY 390  E,ROWLANDS ELECTRIC SERVICE INC,ISSUED
DIS18-0119,HURRICANE MICHAEL,ELECTRICAL,43398,HM - TEMP POLE,1704 GAINER AVE,ALWAYS ON TIME ELECTRIC INC,ISSUED
DIS18-0120,HURRICANE MICHAEL,ROOF,43398,"RE-ROOF 48 SQ $20,000.00",158 MARLIN CIR,"ART CONSTRUCTION  OF NW FL, LL...",FINALED
DIS18-0121,HURRICANE MICHAEL,ROOF,43399,REROOF,478 MARLIN DR,OWNER/BUILDER,FINALED
DIS18-0122,HURRICANE MICHAEL,ROOF, ,ROOF,655 SEAL DR,"BENTLEY, BOBBY L. JR",APPROVED
DIS18-0123,HURRICANE MICHAEL,ROOF,43399,ROOF REPAIR  METAL,3706 HWY 231,DRYDEN CONTRACTING INC.,ISSUED
DIS18-0124,HURRICANE MICHAEL,ROOF,43399,METAL REROOF - HM,498 MARLIN DR,SCOTT WILSON CONSTRUCTION INC.,WITHDRAWN
DIS18-0125,HURRICANE MICHAEL,VINYL SIDING,43399,SIDING REPLACEMENT- HM,498 MARLIN DR,SCOTT WILSON CONSTRUCTION INC.,ISSUED
DIS18-0126,HURRICANE MICHAEL,ROOF,43399,HM/RE-ROOF $4000.00 12 SQ,440 MARLIN DR S,OWNER/BUILDER,ISSUED
DIS18-0127,HURRICANE MICHAEL,ELECTRICAL,43399,SERVICE REPAIR,1845 24TH CT W,MASHBURN ELECTRIC,ISSUED
DIS18-0128,HURRICANE MICHAEL,ROOF,43399,DAMAGED ROOF REPAIR,12012 HAPPYVILLE RD,"ZANGL, LISA MARIE",ISSUED
DIS18-0129,HURRICANE MICHAEL,ELECTRICAL,43399,TEMP POLE,1845 24TH CT W,MASHBURN ELECTRIC,FINALED
DIS18-0130,HURRICANE MICHAEL,ROOF,43399,REROOF,3425 ORLANDO RD,Guyson (roofing) Construction ...,ISSUED
DIS18-0131,HURRICANE MICHAEL,ROOF,43399,ROOF REPLACEMENT,190 MARLIN DR S 190,OWNER/BUILDER,ISSUED
DIS18-0132,HURRICANE MICHAEL,ROOF,43399,REROOF,3429 ORLANDO RD,Guyson (roofing) Construction ...,ISSUED
DIS18-0133,HURRICANE MICHAEL,ELECTRICAL,43399,SERVICE REPAIR,187 CONCORD CIR,COLSON'S ELECTRICAL SERVICES L...,FINALED
DIS18-0134,HURRICANE MICHAEL,ELECTRICAL,43399,SERVICE REPAIR-HM,9036 HWY 77,DARWIN JOHNSON ELECTRIC INC,FINALED
DIS18-0135,HURRICANE MICHAEL,ELECTRICAL,43399,RV  SERVICE REPAIR,190 CONCORD CIR,COLSON'S ELECTRICAL SERVICES L...,FINALED
DIS18-0136,HURRICANE MICHAEL,ROOF,43399,HM/RE-ROOF - 18SQ,10705 SOUTH FORK LP,OWNER/BUILDER,ISSUED
DIS18-0137,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,711 PLANTATION DR,HERITAGE  BUILDERS INC (CGC),FINALED
DIS18-0138,HURRICANE MICHAEL,VINYL SIDING,43399,REPLACE SHIDING,80 GULF LOOP,OWNER/BUILDER,ISSUED
DIS18-0139,HURRICANE MICHAEL,ROOF,43399,REROOF,80 GULF LOOP,SCOTT WILSON CONSTRUCTION INC.,ISSUED
DIS18-0140,HURRICANE MICHAEL,INTERIOR,43399,INTERIOR REPAIR - HM,711 PLANTATION DR,HERITAGE  BUILDERS INC (CGC),ISSUED
DIS18-0141,HURRICANE MICHAEL,EXTERIOR,43399,EXTERIOR REPAIRS - HM,711 PLANTATION DR,HERITAGE  BUILDERS INC (CGC),ISSUED
DIS18-0142,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,104 GULF LOOP,HERITAGE  BUILDERS INC (CGC),FINALED
DIS18-0143,HURRICANE MICHAEL,ELECTRICAL,43399,SERVICE REPAIR,8418 WALLCRAFT AVE,OWNER/BUILDER,FINALED
DIS18-0144,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,2716 LONGLEAF RD,HERITAGE  BUILDERS INC (CGC),WITHDRAWN
DIS18-0145,HURRICANE MICHAEL,INTERIOR,43399,INTERIOR REPAIR - HM,2716 LONGLEAF RD,HERITAGE  BUILDERS INC (CGC),WITHDRAWN
DIS18-0146,HURRICANE MICHAEL,EXTERIOR,43399,EXTERIOR  REPAIR - HM,2716 LONGLEAF RD,HERITAGE  BUILDERS INC (CGC),WITHDRAWN
DIS18-0147,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,2567 MICHIGAN CT,HERITAGE  BUILDERS INC (CGC),FINALED
DIS18-0148,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,2558 MICHIGAN CT,HERITAGE  BUILDERS INC (CGC),ISSUED
DIS18-0149,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,3739 PRESERVE BAY BLVD,HERITAGE  BUILDERS INC (CGC),FINALED
DIS18-0150,HURRICANE MICHAEL,ROOF, ,DAMAGED ROOF REPAIR,4024 BROOK STONE DR,MIKE DEAN CONSTRUCTION LLC,APPROVED
DIS18-0151,HURRICANE MICHAEL,ROOF,43399,REROOF - HM,2908 KINGS RD,HERITAGE  BUILDERS INC (CGC),ISSUED
DIS18-0152,HURRICANE MICHAEL,ROOF,43399,REROOF,1005 YACHTSMEN CT,BUCCO CONSTRUCTION COMPANY LLC,FINALED
DIS18-0153,HURRICANE MICHAEL,ELECTRICAL,43399,TEMP POLE - TRAVEL TRAILER,1839 CALLAWAY DR E,OWNER  BUILDER,FINALED
DIS18-0154,HURRICANE MICHAEL,ELECTRICAL,43399,DAMAGED ELECTRICAL REPAIR,4919 HWY 389,SAFE ELECTRICAL CONTRACTING CO...,FINALED
DIS18-0155,HURRICANE MICHAEL,ROOF,43399,REROOF,3734 LONG JOHN DR,"KINGS ROOFING, LLC",FINALED
DIS18-0156,HURRICANE MICHAEL,ELECTRICAL,43399,SERVICE REPAIR - HM,2822 16TH ST E,OWNER BUILDER,ISSUED
DIS18-0157,HURRICANE MICHAEL,ROOF,43399,REROOF,HISPANIOLA ST,"KINGS ROOFING, LLC",ISSUED
DIS18-0158,HURRICANE MICHAEL,ROOF,43399,REROOF,4809 HISPANIOLA ST,"KINGS ROOFING, LLC",ISSUED
DIS18-0159,HURRICANE MICHAEL,ROOF,43399,REROOF -  HM,2822 16TH ST E,OWNER BUILDER,ISSUED
DIS18-0160,HURRICANE MICHAEL,ROOF,43399,"RE-ROOF 32 SQ $14,000.00",4812 CHEROKEE HEIGHTS RD,M & I GENERAL CONTRACTING LLC,FINALED
DIS18-0161,HURRICANE MICHAEL,ROOF,43399,REROOF,104 DRAGON CIR,"KINGS ROOFING, LLC",ISSUED
DIS18-0162,HURRICANE MICHAEL,ELECTRICAL,43399,HM- REPLACEMENT POLE - SERVC R...,1008 BOB LITTLE RD,OWNER/BUILDER,FINALED
DIS18-0163,HURRICANE MICHAEL,ELECTRICAL,43399,SERVC REPAIR,7043 BONE LN,COMPLETE ELECTRICAL SERV. N.W....,FINALED
DIS18-0164,HURRICANE MICHAEL,ROOF,43399,HURRICANE REPAIRS,82 GULF LOOP,"DAVIS, JUDSON D & TIFFANY H",ISSUED
DIS18-0165,HURRICANE MICHAEL,VINYL SIDING,43399,HURRICANE REPAIRS,82 GULF LOOP,"DAVIS, JUDSON D & TIFFANY H",ISSUED
DIS18-0166,HURRICANE MICHAEL,ELECTRICAL,43399,HM -  SERVICE REPAIR,1203 CORNELL DR,SUPERIOR ELECTRICAL CONTRACTIN...,FINALED
DIS18-0167,HURRICANE MICHAEL,ROOF,43413,REROOF,3114 KINGS DR,JERRY WILSON'S ROOFING COMPANY,ISSUED
DIS18-0168,HURRICANE MICHAEL,ROOF,43399,ROOF,4934 MCCALL LN,APEX ROOFING,ISSUED
DIS18-0169,HURRICANE MICHAEL,MH SERVICE POLE,43399,HURRICANE REPAIRS,2805 11TH CT E B,"PURNELL, DONNA MARIE",FINALED
DIS18-0170,HURRICANE MICHAEL,ROOF, ,DAMAGED ROOF REPAIR,4922 MC CALL LN,APEX ROOFING,APPROVED
DIS18-0171,HURRICANE MICHAEL,EXTERIOR,43399,EXTERIOR REPAIR- HM,21 GULF DR,OWNER BUILDER,ISSUED
DIS18-0172,HURRICANE MICHAEL,INTERIOR,43399,INTERIOR REPAIR- HM,21 GULF DR,OWNER BUILDER,ISSUED
DIS18-0173,HURRICANE MICHAEL,ROOF,43399,HM/ RE-ROOF 8 SQ,688 SEASHELL DR,STRYKER METAL ROOFING,FINALED
DIS18-0174,HURRICANE MICHAEL,MECHANICAL,43399,HM - A/C CHANGE OUT-STORM DAMA...,307 CAIN RD,QUINCY'S HEATING & A/C INC.,FINALED
DIS18-0175,HURRICANE MICHAEL,MECHANICAL,43399,HM - A/C CHANGE OUT-STORM DAMA...,421 BRADY WAY,QUINCY'S HEATING & A/C INC.,ISSUED
DIS18-0176,HURRICANE MICHAEL,MECHANICAL,43399,HM - A/C CHANGE OUT-STORM DAMA...,7205 THOMAS DR A401,QUINCY'S HEATING & A/C INC.,FINALED
DIS18-0177,HURRICANE MICHAEL,MECHANICAL,43399,HM - A/C CHANGE OUT-STORM DAMA...,2322 PELICAN BAY CT,QUINCY'S HEATING & A/C INC.,FINALED
DIS18-0178,HURRICANE MICHAEL,MECHANICAL,43399,HM - A/C CHANGE OUT-STORM DAMA...,6402 DOLPHIN SHORES DR,QUINCY'S HEATING & A/C INC.,FINALED
DIS18-0179,HURRICANE MICHAEL,MECHANICAL,43399,HM - A/C CHANGE OUT-STORM DAMA...,7205 THOMAS DR A402,QUINCY'S HEATING & A/C INC.,FINALED
