ParcelId,Address,UseCode,SquareFootage,Stories,YearBuilt,OccType,ExteriorWalls,RoofCover,InteriorWalls,FrameType,FloorCover,PermitNumber,PermitIssuedDate,PermitType,PermitDescription,PermitAmount,Latitude,Longitude
04973-270-000,426 7TH ST MEXICO BEACH 32410,SINGLE FAM (000100),2612,1,2000,SFR GOOD,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; VINYL PLNK,['19MB-RR0269'],['20190424'],['RERF'],['RE-ROOF'],['0'],29.941348,-85.393738
04973-391-000,424 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),1902,1,2008,SFR AVERG,VINYL; COMMON BRK,ENG SHINGL,DRYWALL,,CLAY TILE; VINYL PLNK,,,,,,29.94153,-85.395078
04973-410-000,428 ARIZONA DR MEXICO BEACH 32410,SINGLE FAM (000100),2216,1,2017,SFR GOOD,AVERAGE,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,29.939876,-85.397105
04668-010-000,106 36TH ST N MEXICO BEACH 32410,SINGLE FAM (000100),2334,1,1985,SFR AVERG,CEDAR,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,['18-0078'],['20181116'],['RERF'],['RERF'],['0'],29.951283,-85.421408
04726-000-000,125 MIRAMAR DR MEXICO BEACH 32410,VACANT (000000),0,1,1967,NONE,,ENG SHINGL,,,,,,,,,29.95228,-85.42957
04704-000-000,103 CIRCLE DR MEXICO BEACH 32410,VACANT (000000),0,1,1965,NONE,,ENG SHINGL,,,,,,,,,29.952169,-85.42756
04706-000-000,107 CIRCLE DR MEXICO BEACH 32410,VACANT (000000),0,1,1964,NONE,,ENG SHINGL,,,,['29111170'],['20110329'],['ROOF'],['ROOF'],['0'],29.951821,-85.427813
04734-000-000,125 CIRCLE DR MEXICO BEACH 32410,VACANT (000000),0,1,1969,NONE,,ENG SHINGL,,,,"['21MB-RB0043', '9514108']","['20210528', '19951208']","['NC', 'ROOF']","['SINGLE FAMILY', 'ROOF']","['416,023', '0']",29.951763,-85.428921
04736-000-000,129 CIRCLE DR MEXICO BEACH 32410,VACANT (000000),0,1,1965,NONE,,ENG SHINGL,,,,['18MB-RR0063'],['20181002'],['RERF'],['RERF'],['0'],29.95217,-85.42877
04719-000-000,130 CIRCLE DR MEXICO BEACH 32410,VACANT (000000),0,1,1963,NONE,,ENG SHINGL,,,,"['18-3735', '9512475']","['20180103', '19951111']","['RERF', 'ROOF']","['RERF', 'ROOF']","['0', '0']",29.952063,-85.428321
04317-000-000,608 HWY 98 MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,"['19MB-DEM0147', '72390892']","['20190328', '20090723']","['DEM', 'ROOF']","['DEMOLITION', 'ROOF']","['0', '0']",29.935282,-85.399706
04700-000-000,112 41ST ST MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,['20MB-DEM0004'],['20200113'],['DEM'],['DEMOLITION'],['0'],29.951559,-85.426808
04743-000-000,124 MIRAMAR DR MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,"['20MB-RB0328', '17-3722']","['20210603', '20171129']","['NC', 'RERF']","['SINGLE FAMILY', 'RERF']","['587,479', '0']",29.951487,-85.429937
04790-000-000,110 36TH ST N MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,"['31480615', '095-0086']","['20080314', '20051109']","['ROOF', 'RERF']","['ROOF', 'RE-ROOF']","['1,496', '960']",29.951516,-85.42137
04702-020-000,104 41ST ST MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,"['19MB-DEM0153', '72390893', '9311706']","['20190329', '20090723', '19931201']","['DEM', 'ROOF', 'ROOF']","['DEMOLITION', 'ROOF', 'ROOF']","['0', '0', '0']",29.952254,-85.426268
04117-016-000,107 41ST ST C MEXICO BEACH 32410,VACANT (000000),0,2,0,NONE,,ENG SHINGL,,,,"['19MB-DEM0085', '0414']","['20190227', '20070222']","['DEM', 'ROOF']","['DEMOLITION', 'RE-ROOF']","['0', '476']",29.951923,-85.426019
04701-000-000,110 41ST ST MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,['9512372'],['19951108'],['ROOF'],['ROOF'],['0'],29.951733,-85.426681
04699-000-000,114 41ST ST MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,['93571'],['19930122'],['ROOF'],['ROOF'],['0'],29.951384,-85.426935
04698-000-000,116 41ST ST MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,['14-2565'],['20140617'],['ROOF'],['ROOF'],['0'],29.95121,-85.427062
04697-000-000,118 41ST ST MEXICO BEACH 32410,VACANT (000000),0,1,0,NONE,,ENG SHINGL,,,,['925151'],['19920612'],['ROOF'],['ROOF'],,29.951036,-85.427188
04973-900-110,100 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,['19-0318'],['20190520'],['REMO'],['REMODEL'],"['38,000']",30.162953,-85.779162
04973-900-100,102 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,30.162953,-85.779162
04973-900-090,104 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,30.162953,-85.779162
04973-900-070,113 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,['17-3582'],['20180815'],['NC'],['SINGLE FAMILY'],"['108,144']",30.162953,-85.779162
04973-900-050,109 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,"['19MB-RB0020', '19MB-RB0018', '17-3580']","['20190111', '20190110', '20180815']","['REMO', 'REMO', 'NC']","['REMODEL', 'REMODEL', 'SINGLE FAMILY']","['5,000', '5,000', '108,144']",30.162953,-85.779162
04973-900-040,107 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,['18-3579'],['20180815'],['NC'],['SINGLE FAMILY'],"['108,144']",30.162953,-85.779162
04973-900-030,105 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,"['18MB-RB0088', '17-3578']","['20181227', '20180815']","['REMO', 'NC']","['REMODEL', 'SINGLE FAMILY']","['25,000', '108,144']",30.162953,-85.779162
04973-900-020,103 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,"['19MB-RB0017', '17-3577']","['20190110', '20180815']","['REMO', 'NC']","['REMODEL', 'SINGLE FAMILY']","['5,000', '108,144']",30.162953,-85.779162
04973-900-010,101 OCEAN VIEW DR MEXICO BEACH 32410,SINGLE FAM (000100),960,1,2018,SFR GOOD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,"['19MB-RB0016', '17-3576']","['20190110', '20180805']","['REMO', 'NC']","['REMODEL', 'SINGLE FAMILY']","['5,000', '108,144']",30.162953,-85.779162
04973-858-000,301 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),3416,1,2020,SFR GOOD,AVERAGE,STAND SEAM,DRYWALL,,CLAY TILE; VINYL PLNK,"['18-0043', '17-3727']","['20180713', '20171207']","['ROOF', 'NC']","['ROOF', 'SINGLE FAMILY']","['0', '236,000']",29.939771,-85.40075
04973-852-000,307 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),2000,2,1989,SFR AVERG,PREFAB,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['19MB-RB0411', '19MB-RB0412', '19MB-RR0010', '04973852', '450063', '9706022', '9211161']","['20190708', '20190708', '20190103', '20061116', '20051014', '19970604', '19921123']","['ADD', 'REMO', 'RERF', 'RERF', '', 'ADD', 'ALTR']","['PATIO ENCLOSURE', 'REMODEL', 'RE-ROOF', 'REROOF', 'BUILDING', 'ADDITION', 'ALTERATION']","['0', '0', '0', '2,312', '4,500', '1,500', '0']",29.940633,-85.400351
04973-846-000,313 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),1534,1,1975,SFR GOOD,COMMON BRK,ENG SHINGL,DRYWALL,,CLAY TILE; VINYL PLNK,"['20MB-RB0218', '20MB-RR0006', '11290759', '99-02339']","['20200528', '20200108', '20090112', '19990308']","['REMO', 'RERF', 'RERF', 'MOVE']","['REMODEL', 'RE-ROOF', 'RE-ROOF', 'MOVE']","['28,000', '0', '1,496', '20,000']",29.941513,-85.40007
04973-844-000,315 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),1920,1,1987,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE,"['19MB-RB0458', '19MB-RR0244', '9707975', '9513142']","['20190725', '20190416', '19970728', '19951121']","['REMO', 'RERF', 'ADD', 'ADD']","['REMODEL', 'RE-ROOF', 'ADDITION', 'ADDITION']","['0', '0', '9,958', '1,100']",29.941791,-85.400008
04973-842-000,317 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),1780,1,1987,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; HARDWOOD,"['20MB-RB0258', '19MB-RB0450', '19-0294', '65-0090']","['20200710', '20190722', '20190522', '20051116']","['STOR', 'REMO', 'RERF', 'RERF']","['POLE BARN/SHED', 'REMODEL', 'RE-ROOF', 'RE-ROOF']","['4,334', '0', '0', '0']",29.94206,-85.399972
04973-840-000,319 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),2298,1,1983,SFR AVERG,PREFAB,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['19MB-RR0238', '19MB-RB0213', '19MB-RR0177', '12-2120', 'B2170', '9710383']","['20190410', '20190409', '20190304', '20120326', '20020923', '19970915']","['RERF', 'REMO', 'RERF', 'RENO', 'ADD', 'ADD']","['RE-ROOF', 'REMODEL', 'RE-ROOF', 'WINDOWS', 'ADDITION', 'ADDITION']","['5,000', '15,000', '0', '0', '2,700', '420']",29.942302,-85.39977
04973-838-000,1113 15TH ST N MEXICO BEACH 32410,SINGLE FAM (000100),2088,0,2007,SFR AVERG,ABOVE AVG.,STAND SEAM,DRYWALL,,CLAY TILE; CARPET,"['19MB-RB0589', '19MB-RR0342']","['20191028', '20190725']","['REMO', 'RERF']","['REMODEL', 'RE-ROOF']","['25,000', '0']",29.942556,-85.399535
04973-822-000,314 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),2172,1,1985,SFR AVERG,CEDAR,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['20MB-RR0057', '19MB-RB0431', '18MB-RR0173', '14-2475', '12-2194', 'B-2611', 'B-2612']","['20200519', '20190820', '20181211', '20140127', '20120716', '20031120', '20031120']","['RERF', 'REMO', 'RERF', 'ROOF', 'ROOF', 'ROOF', 'STOR']","['RE-ROOF', 'REMODEL', 'RE-ROOF', 'ROOF', 'ROOF', 'ROOF', 'STORAGE']","['0', '29,600', '0', '0', '0', '500', '500']",29.941348,-85.399635
04973-820-000,306 ROBIN LN MEXICO BEACH 32410,SINGLE FAM (000100),950,1,1999,SFR GOOD,VINYL,COMP SHNGL,DRYWALL,,CLAY TILE; CARPET,"['21MB-RB0099', '19MB-RB0261', '19MB-RR0093', '6734']","['20210719', '20190423', '20190131', '19990706']","['ADD', 'REMO', 'RERF', 'NC']","['ADDITION', 'REMODEL', 'RE-ROOF', 'NEW CONST.']","['8,965', '33,000', '0', '31,900']",29.940501,-85.399928
04973-818-000,308 WYSONG AVE MEXICO BEACH 32410,SINGLE FAM (000100),2048,1,1998,SFR AVERG,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; VINYL PLNK,"['19MB-RB0218', '19MB-SID0004', '18MB-RR0138', 'SP0093', 'SP0093', '7855', '9807917']","['20190411', '20190125', '20181204', '20030612', '20030604', '19990803', '19980610']","['REMO', 'SIDG', 'RERF', 'POOL', 'POOL', 'ADD', 'NC']","['REMODEL', 'SIDING', 'RE-ROOF', 'POOLS', 'POOLS', 'ADDITION', 'NEW CONST.']","['30,000', '24,000', '0', '0', '19,500', '15,600', '65,000']",29.940785,-85.399674
04973-816-000,310 WYSONG AVE MEXICO BEACH 32410,SINGLE FAM (000100),1952,1,1998,SFR GOOD,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE; VINYL PLNK,"['20MB-RB0312', '19MB-RB0133', '19MB-RR0018', '18-0018', '99-00283', '9705492']","['20201026', '20190308', '20190104', '20181121', '19990112', '19970521']","['STOR', 'REMO', 'RERF', 'DEM', 'XTRA', 'NC']","['POLE BARN/SHED', 'REMODEL', 'RE-ROOF', 'DEMO', 'EXTRA FEAT', 'NEW CONST.']","['4,486', '60,000', '0', '0', '500', '35,868']",29.941015,-85.399434
04973-814-000,312 WYSONG AVE MEXICO BEACH 32456,SINGLE FAM (000100),2312,1,1997,SFR GOOD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,"['19MB-RR0320', '19MB-RB0361', '18-3872', '9812916', '9607350']","['20190628', '20190617', '20180321', '19981120', '19960618']","['RERF', 'REMO', 'CRPT', 'ADD', 'NC']","['RE-ROOF', 'REMODEL', 'CARPORT', 'ADDITION', 'NEW CONST.']","['0', '17,000', '6,416', '4,200', '37,968']",29.941249,-85.399264
04973-810-000,316 WYSONG AVE MEXICO BEACH 32410,SINGLE FAM (000100),2005,1,1994,SFR AVERG,COMMON BRK,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['19MB-RR0045', '71370524', '0494', 'B1718', '9404974', '9400542']","['20190110', '20070713', '20070529', '20010918', '19940523', '19940120']","['RERF', 'UDU', 'RERF', 'ADD', 'ADD', 'NC']","['RE-ROOF', 'SHED', 'RE-ROOF', 'ADDITION', 'ADDITION', 'NEW CONST.']","['0', '1,100', '0', '3,175', '1,600', '38,161']",29.941672,-85.398746
04973-808-000,318 WYSONG AVE MEXICO BEACH 32410,SINGLE FAM (000100),1600,1,1987,SFR AVERG,WD FR STUC; STONE,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,,,,,,29.941894,-85.398514
04973-807-000,320 WYSONG AVE A MEXICO BEACH 32410,SINGLE FAM (000100),1150,1,1986,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['20MB-RB0072', '20MB-RR0012', '16-3080', '9602977', '9602977']","['20200220', '20200116', '20160304', '19960305', '19960305']","['REMO', 'RERF', 'RERF', 'ADD', 'ADD']","['REMODEL', 'RERF', 'RERF', 'ADDITION', 'ADDITION']","['25,000', '0', '0', '0', '0']",29.942171,-85.398225
04973-806-000,320 WYSONG AVE B MEXICO BEACH 32410,SINGLE FAM (000100),1150,1,1986,SFR GOOD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,"['20MB-RB0074', '20MB-RR0011', '9602977']","['20200220', '20200116', '19960304']","['REMO', 'RERF', 'ADD']","['REMODEL', 'RE-ROOF', 'ADDITION']","['25,000', '0', '0']",29.94206,-85.398341
04973-802-010,324 WYSONG AVE MEXICO BEACH 32410,SINGLE FAM (000100),2314,1,2018,SFR GOOD,VINYL,ENG SHINGL,DRYWALL,,VINYL PLNK,"['19MB-RB0119', '19MB-CR0010', '11141']","['20190304', '20190213', '19990927']","['REMO', 'RERF', 'NC']","['REMODEL', 'RE-ROOF', 'NEW CONST.']","['30,500', '0', '2,000']",29.941203,-85.39921
04973-802-000,326 WYSONG AVE MEXICO BEACH 32410,SINGLE FAM (000100),3180,1,2000,SFR PILING,BD/BTN ABV,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,"['19MB-RB0469', '18MB-RR0183', '18-3751', 'B518']","['20190802', '20181214', '20180105', '20000719']","['REMO', 'RERF', 'NC', 'NC']","['REMODEL', 'RE-ROOF', 'SINGLE FAMILY', 'NEW CONST.']","['60,000', '0', '271,000', '98,000']",29.942575,-85.397793
04973-727-000,219 CHARLES CORNER MEXICO BEACH 32410,SINGLE FAM (000100),2208,2,1999,SFR AVERG,CEDAR,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,"['14-2631', 'B1315', '0230', '8297', '9606914']","['20140903', '20001121', '20000110', '19990819', '19960607']","['ROOF', 'ADD', 'ADD', 'NC', 'NC']","['ROOF', 'ADDITION', 'ADDITION', 'NEW CONST.', 'NEW CONST.']","['0', '650', '4,000', '8,000', '33,243']",29.943347,-85.407295
04973-725-000,221 CHARLES CORNER MEXICO BEACH 32410,SINGLE FAM (000100),2262,1,2001,SFR AVERG,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,"['18MB-RR0170', '14-2266', 'B1325']","['20181211', '20141016', '20001121']","['RERF', 'ADD', 'NC']","['RE-ROOF', 'SCREEN PORCH', 'NEW CONST.']","['0', '10,000', '99,440']",29.943551,-85.407297
04973-722-000,220 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),1816,1,1985,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,"['19MB-RR0184', '19MB-RB0099', '85605', '9401538']","['20190305', '20190219', '20050830', '19940218']","['RERF', 'REMO', 'RERF', 'ADD']","['RE-ROOF', 'REMODEL', 'RE-ROOF', 'ADDITION']","['0', '18,740', '0', '400']",29.943553,-85.40765
04973-717-000,224 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),2864,1,2007,SFR GOOD,WD FR STUC,CLAY TILE,DRYWALL,,CLAY TILE; CARPET,"['20MB-RB0304', '19-0278', '16-3019']","['20200930', '20190502', '20160111']","['POOL', 'RERF', 'STOR']","['HOT TUB', 'RE-ROOF', 'STORAGE SHED']","['3,550', '0', '12,000']",29.943671,-85.407743
04973-715-000,227 CHARLES CORNER MEXICO BEACH 32410,SINGLE FAM (000100),1770,2,1980,SFR AVERG,PREFAB,MODULAR MT,DRYWALL,,CLAY TILE; NONE,['20MB-RB0138'],['20200310'],['REMO'],['REMODEL'],"['50,000']",29.94438,-85.407175
04973-711-000,233 CHARLES CORNER MEXICO BEACH 32410,SINGLE FAM (000100),2850,2,2007,SFR GOOD,ABOVE AVG.,STAND SEAM,DRYWALL,,CLAY TILE; HARDWOOD,"['19MB-RB0258', '70670519', '0430', '066-0332']","['20190423', '20070706', '20070305', '20061031']","['REMO', 'POOL', 'RERF', 'NC']","['REMODEL', 'POOLS', 'RE-ROOF', 'NEW CONST.']","['8,500', '40,800', '0', '250,000']",29.943814,-85.407176
04973-710-000,232 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),3220,1,2020,SFR GOOD,BD/BTN ABV,ENG SHINGL,DRYWALL,,VINYL PLNK,"['19MB-RR0415', '19MB-RB0359']","['20191219', '20190705']","['RERF', 'NC']","['RE-ROOF', 'SINGLE FAMILY']","['0', '0']",29.943816,-85.407749
04973-696-010,238 WILLIAM WAY MEXICO BEACH 32410,SINGLE FAM (000100),1224,1,2010,SFR AVERG,BD/BAT AVG,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,"['19MB-RR0353', '19MB-RB0031', '19MB-RB0058', '18MB-RR0062', '11029942']","['20190809', '20190115', '20190115', '20181204', '20091105']","['RERF', 'REMO', 'RERF', 'REMO', 'RENO']","['RE-ROOF', 'REMODEL', 'RE-ROOF', 'REMODEL', 'RENOVATION']","['0', '4,500', '0', '500', '25,000']",30.15707,-85.559256
04973-696-000,242 WILLIAM WAY MEXICO BEACH 32410,SINGLE FAM (000100),3250,2,2002,SFR GOOD,AVERAGE; CB STUCCO,MODULAR MT,DRYWALL,,CLAY TILE,"['19MB-RR0008', 'RF1147', 'B867', 'RF548', 'B866']","['20190102', '20010906', '20010511', '20010511', '20010508']","['RERF', 'RERF', 'ADD', 'ROOF', 'NC']","['RE-ROOF', 'RE-ROOF', 'ADDITION', 'ROOF', 'NEW CONST.']","['0', '0', '16,125', '0', '283,000']",30.15707,-85.559256
04973-694-000,215 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),3133,1,1988,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,HARDWOOD,"['19MB-RB0101', '19MB-RR0130', '9210621']","['20190219', '20190219', '19921105']","['REMO', 'RERF', 'ADD']","['REMODEL', 'RE-ROOF', 'ADDITION']","['9,000', '0', '7,900']",29.943549,-85.408171
04973-690-000,223 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),2520,1,2000,SFR GOOD,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,"['19MB-RB0452', '19MB-RB0100', '19MB-RR0129', '18-3859', 'B332']","['20190725', '20190219', '20190219', '20180306', '20000521']","['DECK', 'REMO', 'RERF', 'POOL', 'NC']","['DECK', 'REMODEL', 'RE-ROOF', 'POOL', 'NEW CONST.']","['0', '9,500', '0', '34,000', '105,600']",29.944089,-85.408173
04973-687-000,226 NANNOOK RD MEXICO BEACH 32410,SINGLE FAM (000100),2472,2,1986,SFR GOOD,CEDAR,ENG SHINGL,DRYWALL,,VINYL PLNK; CARPET,"['19MB-RR0002', '93-8712', '934650', '91-4975']","['20190102', '19930917', '19930521', '19910722']","['RERF', 'ADD', 'ALTR', 'ADD']","['RE-ROOF', 'ADDITION', 'ALTERATION', 'ADDITION']","['0', '8,880', '850', '9,800']",29.94435,-85.408655
04973-685-010,225 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),1611,1,1989,SFR AVERG,PREFAB,COMP SHNGL,DRYWALL,,SHT VINYL; CARPET,"['16-3044', '22210994', '96-02153', '']","['20160204', '20100222', '19960219', '19960216']","['RENO', 'RENO', 'XTRA', 'ADD']","['ENCLOSE ROOM', 'RENOVATION', 'EXTRA FEAT', 'ADDITION']","['2,400', '4,200', '300', '300']",29.944502,-85.408174
04973-685-000,227 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),3571,1,1999,SFR GOOD,WD FR STUC,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,"['19MB-RR0363', '19MB-RB0480', '13-2351', '13-2341', '9805271', '9614141']","['20190823', '20190809', '20130618', '20130603', '19980526', '19961121']","['RERF', 'REMO', 'ROOF', 'ADD', 'NC', 'ADD']","['RE-ROOF', 'REMODEL', 'ROOF', 'SCREEN ROOM', 'NEW CONST.', 'ADDITION']","['0', '5,000', '0', '6,650', '160,000', '1,930']",29.94477,-85.408073
04973-684-000,231 KIM KOVE MEXICO BEACH 32410,SINGLE FAM (000100),1038,1,1984,SFR AVERG,WD FR STUC,COMP SHNGL,DRYWALL,,VINYL PLNK,"['21MB-RB0168', '19MB-RR0304', '19MB-RB0287', 'B413']","['20210820', '20190610', '20190506', '20000703']","['POOL', 'RERF', 'REMO', 'ADD']","['POOLS', 'RE-ROOF', 'REMODEL', 'ADDITION']","['54,688', '0', '50,000', '2,400']",29.945007,-85.408076
