Parcel Id,Address,Use Code,Square Footage,Stories,Year Built,OccType,Exterior Walls,Roof Cover,Interior Walls,Frame Type,Floor Cover,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Permit Number,Permit Issued Date,Permit Type,Permit Description,Permit Amount,Latitude,Longitude
35601-000-000,21400 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1421,1,1988,SFR AVERG,ABOVE AVG.,COMP SHNGL,DRYWALL,,CARPET; CLAY TILE,,,,,,['R06-2036'],['20061207'],['RERF'],['RE-ROOF'],['0'],30.256058,-85.951134
35598-000-000,21410 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1400,1,2005,SFR GOOD,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,['500752'],['20050311'],['NC'],['NEW CONST.'],"['59,504']",30.256065,-85.951609
35589-000-000,21516 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1721,1,1995,SFR GOOD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE,,,,,,"['15-1147', '13-0731', '9411893']","['20151123', '20130520', '19941202']","['RENO', 'RERF', 'NC']","['RENO', 'RERF', 'NEW CONST.']","['730', '0', '35,700']",30.256114,-85.953183
35586-000-000,21522 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1292,1,1957,SFR AVERG,CB STUCCO,MODULAR MT; ROLL COMP,PLYWOOD,,TERRAZZO,,,,,,"['15-0572', '91-6916']","['20150422', '19910926']","['RERF', 'ROOF']","['RERF', 'ROOF']","['0', '0']",30.256082,-85.953669
35585-000-000,21527 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1411,1,1996,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,,,,,,"['RR21-00503', '9509345']","['20210514', '19950925']","['RERF', 'NC']","['RE-ROOF', 'NEW CONST.']","['0', '29,106']",30.255703,-85.95383
35579-010-000,21509 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1491,1,2015,SFR AVERG,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,['14-0594'],['20140620'],['NC'],['SINGLE FAMILY'],"['84,925']",30.255692,-85.952896
35576-000-000,21413 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1120,1,1955,SFR AVERG,MINIMUM; AVERAGE,COMP SHNGL,PLYWOOD,,VINYL ASB,,,,,,"['08-1207', '08-1466']","['20081218', '20081126']","['RERF', 'RENO']","['RE-ROOF', 'RENOVATION']","['0', '9,600']",30.255672,-85.951788
35571-000-000,21323 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1704,1,1991,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['RB19-01428', '14-1175', '916791']","['20190807', '20140807', '19910919']","['CRPT', 'ROOF', 'NC']","['CARPORT', 'ROOF', 'NEW CONST.']","['2,200', '0', '0']",30.255615,-85.950829
35570-000-000,21321 DOLPHIN AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1300,1,1998,SFR AVERG,WD FR STUC,MODULAR MT,DRYWALL,,CARPET; CLAY TILE,,,,,,"['18-06327', '9805565', '9804016']","['20181228', '19980602', '19980422']","['RERF', 'ROOF', 'NC']","['RERF', 'ROOF', 'NEW CONST.']","['0', '0', '25,872']",30.255612,-85.95067
35568-000-000,501 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1288,1,1995,SFR AVERG,WD FR STUC,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,,,,,,"['13-1473', '9608702', '9502747']","['20130925', '19960725', '19950329']","['RERF', 'ADD', 'NC']","['METAL RERF', 'ADDITION', 'NEW CONST.']","['0', '8,000', '25,410']",30.255607,-85.950353
35568-000-000,501 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),576,1,1996,SFR AVERG,WD FR STUC,MODULAR MT,WALL BD/WD,,CONC FINSH,,,,,,"['13-1473', '9608702', '9502747']","['20130925', '19960725', '19950329']","['RERF', 'ADD', 'NC']","['METAL RERF', 'ADDITION', 'NEW CONST.']","['0', '8,000', '25,410']",30.255607,-85.950353
35563-000-000,21322 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1488,1,1984,SFR AVERG,WD FR STUC,COMP SHNGL,PLYWOOD,,PARQUET; CLAY TILE,,,,,,"['12-0263', 'B1640', '908357']","['20120319', '20020709', '19950905']","['RERF', 'ADD', 'ROOF']","['RERF', 'ADDITION', 'ROOF']","['0', '1,596', '0']",30.255287,-85.950823
35562-000-000,21324 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2070,1,2015,SFR GOOD,ABOVE AVG.; BD/BTN ABV,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,"['16-0537', '15-0251']","['20160525', '20150416']","['ADD', 'NC']","['SCREEN ROOM', 'SINGLE FAMILY']","['7,100', '200,000']",30.25529,-85.950982
35559-000-000,21408 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1328,1,1995,SFR AVERG,WD FR STUC,COMP SHNGL,DRYWALL,,CARPET; CLAY TILE,,,,,,['9501651'],['19950227'],['NC'],['NEW CONST.'],"['22,344']",30.255297,-85.951457
35556-000-000,21416 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),802,1,1983,SFR AVERG,CEDAR,COMP SHNGL,DRYWALL,,CLAY TILE,,,,,,['9804684'],['19980507'],['ROOF'],['ROOF'],['0'],30.255305,-85.951932
35554-000-000,21420 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),2435,1,2014,SFR AVG/GD,COMMON BRK,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,,,,,,"['13-1728', '13-0727']","['20131106', '20130827']","['ROOF', 'NC']","['ROOF', 'SINGLE FAMILY']","['0', '140,000']",30.25531,-85.952249
35553-000-000,21500 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1072,1,1989,SFR AVERG,WD FR STUC,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,['14-0960'],['20140701'],['RERF'],['RERF'],['0'],30.255301,-85.95257
35552-000-000,21504 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1018,1,1983,SFR AVERG,WD FR STUC,MODULAR MT,DRYWALL,,SHT VINYL; CARPET,,,,,,,,,,,30.255329,-85.95272
35551-010-000,21506 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1374,1,1977,SFR AVERG,ABOVE AVG.,MODULAR MT,PLYWOOD; DRYWALL,,CARPET; CLAY TILE,,,,,,"['RB19-01643', '11-0550', '11-0502', '987256', '9607814', '9606700']","['20190905', '20110526', '20110520', '19980714', '19960701', '19960603']","['RENO', 'RENO', 'RERF', 'NC', 'RENO', 'ROOF']","['EXT RENO', 'RENOVATION', 'RE-ROOF', 'NEW CONST.', 'RENOVATION', 'ROOF']","['7,614', '7,000', '0', '2,400', '2,000', '0']",30.255306,-85.952886
35550-000-000,21512 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1358,1,1992,SFR GOOD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['500402', '9511185', '918576']","['20050224', '19951025', '19911121']","['RERF', 'ROOF', 'NC']","['RE-ROOF', 'ROOF', 'NEW CONST.']","['0', '0', '23,688']",30.255358,-85.953212
35549-000-000,21516 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1497,1,1977,SFR AVERG,AVERAGE,COMP SHNGL,PLYWOOD; DRYWALL,,SHT VINYL; CARPET,,,,,,['9511828'],['19951101'],['ROOF'],['ROOF'],['0'],30.255361,-85.95337
35546-000-000,21525 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1990,1,1984,SFR GOOD,CEDAR,COMP SHNGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['11-0084', '96-01777', '21096']","['20110126', '19960212', '19901029']","['RENO', 'ROOF', 'ADD']","['RENOVATION', 'ROOF', 'ADDITION']","['3,767', '0', '6,000']",30.254961,-85.953851
35542-000-000,21509 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1255,1,1985,SFR AVERG,AVERAGE,MODULAR MT,DRYWALL,,CLAY TILE; HARDTILE,,,,,,['17-0135'],['20170206'],['RERF'],['RERF'],['0'],30.254952,-85.953218
35538-000-000,21501 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1566,1,1967,SFR AVERG,COMMON BRK,MODULAR MT,PLYWOOD; DRYWALL,,SHT VINYL; CARPET,,,,,,"['11-0617', '11-0569', '11-0570', '11-0571', '9807991']","['20110627', '20110609', '20110609', '20110609', '19980805']","['ROOF', 'RERF', 'RERF', 'RERF', 'ROOF']","['ROOF', 'RE-ROOF', 'RE-ROOF', 'RE-ROOF', 'ROOF']","['0', '0', '0', '0', '2,300']",30.254945,-85.952742
35538-000-000,21501 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),416,1,1967,SFR AVERG,CEDAR,MODULAR MT,PLYWOOD,,SHT VINYL,,,,,,"['11-0617', '11-0569', '11-0570', '11-0571', '9807991']","['20110627', '20110609', '20110609', '20110609', '19980805']","['ROOF', 'RERF', 'RERF', 'RERF', 'ROOF']","['ROOF', 'RE-ROOF', 'RE-ROOF', 'RE-ROOF', 'ROOF']","['0', '0', '0', '0', '2,300']",30.254945,-85.952742
35535-000-000,21415 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1510,1,1984,SFR AVERG,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE,,,,,,"['15-1114', '9707082', '9513221']","['20150915', '19970702', '19951122']","['RERF', 'ADD', 'ROOF']","['RERF', 'ADDITION', 'ROOF']","['0', '2,000', '0']",30.254932,-85.951951
35530-000-000,21401 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1226,1,1991,SFR AVERG,WD FR STUC,COMP SHNGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['RF760', '9809304', '21413']","['20050414', '19980904', '19910114']","['RERF', 'ADD', 'NC']","['RE-ROOF', 'ADDITION', 'NEW CONST.']","['0', '7,000', '0']",30.254885,-85.951159
35525-000-000,21313 HILLTOP AVE PANAMA CITY BEACH 32413,SINGLE FAM (000100),1460,1,1991,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['500002', '403183', '91-2834']","['20050103', '20041207', '19910506']","['XTRA', 'ADD', 'NC']","['EXTRA FEAT', 'ADDITION', 'NEW CONST.']","['18,000', '3,500', '0']",30.254864,-85.950397
35521-000-000,21308 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1776,1,1959,SFR AVERG,CONC BLOCK,ENG SHINGL,PLYWOOD,MASONARY,CLAY TILE,,,,,,,,,,,30.254512,-85.950218
35514-000-000,21404 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),720,1,1978,SFR AVERG,PREFAB,ENG SHINGL,DRYWALL,,CARPET; SHT VINYL,,,,,,['15-0045'],['20150112'],['RERF'],['RERF'],['0'],30.254524,-85.951468
35513-000-000,21412 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1022,1,1985,SFR AVERG,VINYL,MODULAR MT,PLYWOOD,,SHT VINYL; CARPET,,,,,,"['DIS19-09980', '9512472', '9404548']","['20190627', '19951111', '19940510']","['RERF', 'ROOF', 'RENO']","['RE-ROOF', 'ROOF', 'RENOVATION']","['0', '0', '1,500']",30.254559,-85.951626
35509-000-000,21506 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1822,1,1990,SFR AVERG,WD FR STUC; AVERAGE,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['08-0741', '0401206', '9511146', '20294']","['20080715', '20040811', '19951024', '19900517']","['RERF', 'RERF', 'ROOF', 'NC']","['RE-ROOF', 'RE-ROOF', 'ROOF', 'NEW CONST.']","['35', '0', '0', '0']",30.254594,-85.952899
35508-000-000,21508 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),2089,1,1979,SFR AVERG,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['09-1004', 'RF304', '9514107']","['20091019', '20030310', '19951208']","['RENO', 'RERF', 'ROOF']","['RENOVATION', 'RE-ROOF', 'ROOF']","['213', '0', '0']",30.254597,-85.953058
35505-000-000,21520 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1951,1.5,1988,SFR AVERG,ABOVE AVG.,COMP SHNGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['B1194', '9513933']","['20030528', '19951206']","['RENO', 'ROOF']","['RENOVATION', 'ROOF']","['2,500', '0']",30.254604,-85.953533
35502-000-000,21623 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1708,1,1982,SFR AVERG,WD FR STUC,COMP SHNGL,DRYWALL,,SHT VINYL; CARPET,,,,,,['9605591'],['19960507'],['ROOF'],['ROOF'],['0'],30.254196,-85.953874
35500-000-000,21513 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1394,1,1974,SFR AVERG,AVERAGE,ENG SHINGL,PLYWOOD,,CORK/VTILE,,,,,,['11-0473'],['20110516'],['RERF'],['RE-ROOF'],['0'],30.254212,-85.953381
35496-000-000,21501 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1065,1,1982,SFR AVERG,AVERAGE,ENG SHINGL,DRYWALL,,SHT VINYL; CARPET,,,,,,"['17-0886', '9600135']","['20170815', '19960104']","['RERF', 'ROOF']","['RERF', 'ROOF']","['0', '0']",30.254149,-85.952763
35493-010-000,216 RIVIERA DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1580,2,1987,SFR AVERG,ABOVE AVG.,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,['401610'],['20041022'],['RERF'],['RE-ROOF'],['0'],30.254169,-85.952289
35493-000-000,21413 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1096,1,1974,SFR AVERG,VINYL; COMMON BRK,ENG SHINGL,PLYWOOD,,CORK/VTILE,,,,,,"['18-0991', '12035', '361']","['20180821', '19901101', '19900531']","['RERF', 'ADD', 'ROOF']","['RERF', 'ADDITION', 'ROOF']","['0', '5,450', '0']",30.254167,-85.952131
35484-000-000,21315 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),1448,1,1999,SFR AVERG,VINYL,COMP SHNGL,DRYWALL,,CARPET; CLAY TILE,,,,,,['9700301'],['19970110'],['NC'],['NEW CONST.'],"['29,652']",30.254144,-85.950706
35482-010-000,21311 CARIBBEAN LN PANAMA CITY BEACH 32413,SINGLE FAM (000100),2130,1,2014,SFR GOOD,AVERAGE,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,,,,,,['14-0416'],['20140505'],['NC'],['SINGLE FAMILY'],"['144,000']",30.254092,-85.950375
35476-000-000,315 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),4091,1,1955,SFR AVERG,CB STUCCO,COMP SHNGL; MODULAR MT,PLYWOOD,,ASPH TILE,,,,,,"['RF280', '9708515', '9311293']","['20040225', '19970811', '19931118']","['RERF', 'ADD', 'ROOF']","['RE-ROOF', 'ADDITION', 'ROOF']","['0', '16,128', '0']",30.253791,-85.950667
35472-000-000,307 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1624,1,1985,SFR AVERG,VINYL,COMP SHNGL,DRYWALL,,SHT VINYL; CARPET,,,,,,['RF1009'],['20020725'],['RERF'],['RE-ROOF'],['0'],30.25384,-85.951345
35470-010-000,223 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2136,1,1981,SFR AVERG,CB STUCCO,MODULAR MT,DRYWALL,,CLAY TILE; CARPET,,,,,,"['12-0529', '9507754']","['20120522', '19950822']","['RERF', 'ROOF']","['REROOF', 'ROOF']","['0', '0']",30.25385,-85.951979
35468-000-000,217 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1144,1,1954,SFR AVERG,CONC BLOCK; AVERAGE,COMP SHNGL,CUST PANEL,,SHT VINYL,,,,,,"['07-1432', '9511971', '9511972']","['20071031', '19951103', '19951103']","['RERF', 'ADD', 'ROOF']","['RE-ROOF', 'ADDITION', 'ROOF']","['0', '3,000', '0']",30.253868,-85.952608
35461-010-000,204 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1552,1,1984,SFR AVERG,VINYL,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['RB19-02048', 'SP19-00082', '9511214']","['20191101', '20190808', '19951025']","['STOR', 'POOL', 'ROOF']","['POLE BARN OPEN', 'POOLS', 'ROOF']","['6,800', '28,000', '0']",30.253471,-85.953588
35460-020-000,208 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1596,2,2002,SFR AVG/GD,WD FR STUC,ENG SHINGL,DRYWALL,,CARPET; CLAY TILE,,,,,,,,,,,30.253479,-85.953278
35460-000-000,210 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1596,2,2002,SFR AVG/GD,WD FR STUC,ENG SHINGL,DRYWALL,,CARPET; CLAY TILE,,,,,,"['RF669', 'RF534', 'B0185', 'B0186']","['20020506', '20020410', '20020116', '20020116']","['ROOF', 'ROOF', 'NC', 'NC']","['ROOF', 'ROOF', 'NEW CONST.', 'NEW CONST.']","['0', '0', '80,000', '80,000']",30.253467,-85.953152
35459-030-000,121 RIVIERA DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),3614,2,2004,SFR VRY/GD,WD FR STUC,STAND SEAM,DRYWALL,,CLAY TILE; CARPET,,,,,,"['RB19-01295', 'B755', 'RF-1858', 'B-1822', '9310880']","['20190723', '20040324', '20031209', '20030813', '19931105']","['ADD', 'ENCL', 'ROOF', 'NC', 'NC']","['SCREEN ROOM', 'SCREEN ENC', 'ROOF', 'NEW CONST.', 'NEW CONST.']","['14,000', '5,365', '0', '240,926', '33,516']",30.253302,-85.952972
35459-020-000,119 RIVIERA DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1872,2,2004,SFR VRY/GD,WD FR STUC,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,['B-2840'],['20031219'],['NC'],['NEW CONST.'],"['121,218']",30.253195,-85.953028
35458-000-000,422 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2586,1,2020,SFR VRY/GD,ABOVE AVG.,MODULAR MT,DRYWALL,,CLAY TILE,,,,,,"['RR20-00549', 'RB20-00259']","['20200623', '20200408']","['ROOF', 'NC']","['ROOF', 'SINGLE FAMILY']","['0', '291,725']",30.255125,-85.949571
35457-000-000,420 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2110,1,2008,SFR AVG/GD,ABOVE AVG.; BD/BTN ABV,ENG SHINGL,DRYWALL,,CLAY TILE,,,,,,"['07-1576', '07-1686']","['20071207', '20071114']","['ROOF', 'NC']","['ROOF', 'SFR NC']","['0', '0']",30.254945,-85.949586
35456-000-000,416 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1446,1,1993,SFR GOOD,WD FR STUC,ENG SHINGL,DRYWALL,,CARPET; CLAY TILE,,,,,,"['RB21-01398', 'RB21-00837', '13-0288', '932555']","['20210722', '20210510', '20130306', '19930326']","['ADD', 'ADD', 'RERF', 'NC']","['SUNROOM ENCLOSED', 'ADDITION', 'RERF', 'NEW CONST.']","['48,000', '10,000', '0', '23,688']",30.25467,-85.949597
35455-010-000,414 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1687,1,2003,SFR GOOD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE,,,,,,"['SP090', 'B-2027']","['20050406', '20030910']","['POOL', 'NC']","['POOLS', 'NEW CONST.']","['24,500', '83,865']",30.254533,-85.949602
35455-000-000,412 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),1518,1,1993,SFR GOOD,VINYL,ENG SHINGL,DRYWALL,,CARPET; CLAY TILE,,,,,,"['DIS21-00122', '11-0432', '500074', '93577']","['20210219', '20110502', '20050314', '19930125']","['RENO', 'RERF', 'POOL', 'NC']","['RENO INTERIOR/EXTER', 'RE-ROOF', 'POOLS', 'NEW CONST.']","['19,600', '0', '24,000', '26,712']",30.254395,-85.949607
35437-000-000,220 LE GRAND DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),3346,1,2004,SFR AVG/GD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,['SP19-00037'],['20190430'],['POOL'],['POOLS'],"['43,000']",30.253345,-85.952097
35436-000-000,128 RIVIERA DR PANAMA CITY BEACH 32413,SINGLE FAM (000100),2171,1,2001,SFR AVERG,WD FR STUC,ENG SHINGL,DRYWALL,,CARPET; HARDTILE,,,,,,"['B488', 'B1322']","['20020301', '20001121']","['XTRA', 'NC']","['EXTRA FEAT', 'NEW CONST.']","['2,400', '93,016']",30.253391,-85.952331
35428-000-000,21228 LAKEVIEW DR S PANAMA CITY BEACH 32413,SINGLE FAM (000100),3417,1,1987,SFR AVG/GD,WD FR STUC,ENG SHINGL,DRYWALL,,CLAY TILE; CARPET,,,,,,"['SP18-0105', '18-0684', 'RF1375']","['20180917', '20180607', '20011011']","['POOL', 'RERF', 'RERF']","['POOL', 'RERF', 'RE-ROOF']","['45,000', '0', '0']",30.252575,-85.949817
35425-000-000,21308 LAKEVIEW DR S PANAMA CITY BEACH 32413,SINGLE FAM (000100),1092,1,1979,SFR AVERG,CB STUCCO,STAND SEAM,DRYWALL,,SHT VINYL; CARPET,,,,,,"['11-1166', '9603614']","['20111129', '19960320']","['ROOF', 'ROOF']","['ROOF', 'ROOF']","['0', '0']",30.252416,-85.950204
35423-000-000,21316 LAKEVIEW DR S PANAMA CITY BEACH 32413,SINGLE FAM (000100),1952,2,2002,SFR AVG/GD,ABOVE AVG.,MODULAR MT,DRYWALL,,CARPET; CLAY TILE,,,,,,"['DIS19-05919', 'B1812', '3930']","['20190320', '20020814', '19990407']","['RERF', 'NC', 'NC']","['RE-ROOF', 'NEW CONST.', 'NEW CONST.']","['0', '54,000', '88,908']",30.252267,-85.950672
35422-000-000,21322 LAKEVIEW DR S PANAMA CITY BEACH 32413,SINGLE FAM (000100),2988,1,1940,SFR AVERG,SINGLE SID,MODULAR MT,DRYWALL,,PINE WOOD,,,,,,['9703403'],['19970328'],['REP'],['REPAIRS'],"['25,000']",30.252198,-85.950971
35415-000-000,21518 FRONT BEACH RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),3516,2,2003,TWN AVG/GD,WD FR STUC,STAND SEAM,DRYWALL,,CLAY TILE; CARPET,,,,,,['B499'],['20020304'],['NC'],['NEW CONST.'],"['444,312']",30.25295,-85.953447
35412-070-000,21501 FRONT BEACH RD PANAMA CITY BEACH 32413,SINGLE FAM (000100),7506,3.5,2016,GULF FR HS,ABOVE AVG.; WD FR STUC,STAND SEAM,DRYWALL,,CLAY TILE; CARPET,,,,,,"['15-0788', '14-0425', '9513734', '9513735', '9513735']","['20150616', '20140515', '19951203', '19951203', '19951203']","['ROOF', 'NC', 'DEM', 'DEM', 'DEM']","['METAL ROOF', 'SINGLE FAMILY', 'DEMOLITION', 'DEMOLITION', 'DEMOLITION']","['0', '750,000', '0', '0', '0']",30.25216,-85.952959
