Parcel ID,Address,Use Code,Square Footage,Stories,Year Built,Latitude,Longitude
14805-126-000,2909  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2439,1,2009,30.180581,-85.61936
14805-127-000,2907  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2383,1,2008,30.180615,-85.619555
14805-128-000,2905  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2577,1,2008,30.180616,-85.619745
14805-129-000,2903  CEDAR'S CROSSING    PANAMA CITY 32405,SINGLE FAM (000100),2417,1,2007,30.180589,-85.619961
14805-130-000,1800  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2366,1,2007,30.180516,-85.620207
14805-131-000,1802  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2018,1,2007,30.180683,-85.620215
14805-132-000,1804  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2270,1,2007,30.180841,-85.620205
14805-133-000,1806  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2103,1,2009,30.180998,-85.620215
14805-134-000,2902  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2309,1,2012,30.180929,-85.619901
14805-135-000,2904  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2544,1,2015,30.180926,-85.619726
14805-136-000,2906  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2348,1,2015,30.180924,-85.619551
14805-137-000,2908  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2715,1,2016,30.180926,-85.619351
14805-138-000,2910  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2572,1,2008,30.180913,-85.619147
14805-139-000,2912  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2555,1,2011,30.180888,-85.618964
14805-140-000,2914  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2621,1,2008,30.180892,-85.618752
14805-141-000,2918  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2816,1,2007,30.18092,-85.618533
14805-142-000,2922  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2404,1,2006,30.180779,-85.61838
14805-143-000,2924  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2365,1,2006,30.180684,-85.618225
14805-144-000,2926  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2620,1,2006,30.180559,-85.618082
14805-145-000,2928  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2498,1,2006,30.180446,-85.617889
14805-146-000,2930  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2356,1,2006,30.18033,-85.617724
14805-147-000,2932  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2578,1,2006,30.180232,-85.617563
14805-148-000,2934  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2691,1,2006,30.18015,-85.617397
14805-149-000,2936  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2124,1,2007,30.180057,-85.617262
14805-150-000,2938  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2617,1,2006,30.180031,-85.616987
14805-151-000,2939  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2625,1,2006,30.180233,-85.616789
14805-152-000,2937  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2256,1,2007,30.180461,-85.616833
14805-153-000,2935  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2325,1,2007,30.180612,-85.617022
14805-154-000,2933  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2101,1,2006,30.180627,-85.617246
14805-155-000,2931  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2536,1,2007,30.18075,-85.617381
14805-156-000,2929  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2560,1,2007,30.18085,-85.617541
14805-157-000,2927  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2489,1,2006,30.180965,-85.617729
14805-158-000,2925  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2553,1,2006,30.181065,-85.617883
14805-159-000,2923  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2633,1,2006,30.181164,-85.618035
14805-160-000,2921  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2356,1,2006,30.181271,-85.618181
14805-161-000,2919  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2498,1,2006,30.181394,-85.618338
14805-162-000,2917  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2459,1,2006,30.181429,-85.618563
14805-163-000,2915  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2562,1,2006,30.181405,-85.618747
14805-164-000,2913  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2524,1,2007,30.18143,-85.618981
14805-165-000,2911  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2965,1,2006,30.181413,-85.619181
14805-166-000,2907  PATRICIA ANN LN   PANAMA CITY 32405,SINGLE FAM (000100),2355,1,2006,30.181418,-85.619369
14805-167-000,1804  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2288,1,2007,30.18167,-85.619166
14805-168-000,1806  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2520,0,2007,30.181874,-85.619163
14805-169-000,1808  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2370,1,2017,30.182064,-85.619369
14805-170-000,1809  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2398,1,2008,30.182052,-85.619655
14805-171-000,1807  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2828,1,2007,30.18185,-85.619851
14805-172-000,1805  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2306,1,2014,30.18169,-85.619871
14805-173-000,1803  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2340,1,2006,30.181517,-85.619835
14805-174-000,1801  SHANUN CT   PANAMA CITY 32405,SINGLE FAM (000100),2436,1,2006,30.181355,-85.619833
14805-175-000,1808  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2602,1,2007,30.181347,-85.620261
14805-176-000,1810  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2517,1,2006,30.181518,-85.620251
14805-177-000,1812  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2446,1,2006,30.181688,-85.620266
14805-178-000,1814  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2316,1,2007,30.181842,-85.620265
14805-179-000,1816  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2618,1,2007,30.182025,-85.620216
14805-180-000,1818  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2327,1,2007,30.182234,-85.620233
14805-181-000,1820  EVERITT AVE   PANAMA CITY 32405,SINGLE FAM (000100),2443,1,2007,30.182376,-85.62037
14805-182-000,2823  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2611,1,2015,30.182351,-85.620684
14805-183-000,2821  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2583,1,2007,30.182349,-85.620865
14805-184-000,2819  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2419,1,2006,30.182344,-85.621056
14805-185-000,2817  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2419,1,2006,30.182344,-85.621243
14805-186-000,2815  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),1944,1,2015,30.182351,-85.621442
14805-187-000,2813  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2472,1,2006,30.182351,-85.621623
14805-188-000,2811  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2472,1,2006,30.182348,-85.621818
14805-189-000,2809  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2391,1,2015,30.18235,-85.62202
14805-190-000,2805  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2386,1,2007,30.182367,-85.622189
14805-191-000,2801  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2328,1,2007,30.182368,-85.622444
14876-501-000,2803  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1601,1,1995,30.1788,-85.62246
14876-502-000,2805  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1890,1,1997,30.178801,-85.6223
14876-503-000,2809  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1650,1,1997,30.178802,-85.622137
14876-504-000,2811  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1613,1,1995,30.178802,-85.621976
14876-505-000,2815  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1635,1,1995,30.178803,-85.621815
14876-506-000,2817  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1263,1,1995,30.178804,-85.621654
14876-507-000,2821  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1686,1,1995,30.178805,-85.621493
14876-508-000,2823  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1701,1,1995,30.178805,-85.621332
14876-509-000,2827  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1698,1,1995,30.178806,-85.621172
14876-510-000,2829  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1601,1,1995,30.178807,-85.621012
14876-511-000,2833  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1694,1,1995,30.178807,-85.620851
14876-512-000,2835  17TH ST E  PANAMA CITY 32405,SINGLE FAM (000100),1581,1,1995,30.178753,-85.620682
14876-513-000,2834  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1601,1,1995,30.179198,-85.620697
14876-514-000,2832  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1706,1,1995,30.179175,-85.620855
14876-515-000,2828  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1706,1,1995,30.179175,-85.621015
14876-516-000,2826  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1731,1,1995,30.179189,-85.621184
14876-517-000,2822  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1681,1,1996,30.179165,-85.621342
14876-518-000,2820  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1610,1,1996,30.17919,-85.621522
14876-519-000,2816  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),2066,1,1995,30.179137,-85.62169
14876-520-000,2814  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1854,1,1995,30.179185,-85.621852
14876-521-000,2810  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1818,1,1995,30.17916,-85.622001
14876-522-000,2808  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1964,1,1996,30.179135,-85.622181
14876-523-000,2804  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1877,1,1995,30.179095,-85.622349
14876-524-000,2802  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1936,1,1996,30.179124,-85.62252
14876-525-000,2801  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),2032,1,1995,30.179644,-85.622679
14876-526-000,2803  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1626,1,1996,30.179688,-85.622512
14876-527-000,2805  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1860,1,1996,30.179709,-85.622345
14876-528-000,2809  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1651,1,1995,30.179678,-85.622186
14876-529-000,2811  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),2154,0,1995,30.17965,-85.622013
14876-530-000,2815  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),2406,1,1995,30.179688,-85.621861
14876-531-000,2817  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1936,1,1996,30.179704,-85.62169
14876-532-000,2821  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1707,1,1995,30.179639,-85.621525
14876-533-000,2823  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1672,1,1995,30.179678,-85.621364
14876-534-000,2827  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),2036,1,1995,30.179701,-85.621189
14876-535-000,2829  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1798,1,1996,30.179681,-85.621038
14876-536-000,2833  CYNTHIA CT   PANAMA CITY 32405,SINGLE FAM (000100),1841,1,1996,30.179642,-85.620871
14876-537-000,2834  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1918,1,1995,30.180017,-85.620714
14876-538-000,2832  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2140,1,1997,30.180031,-85.620846
14876-539-000,2828  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2180,1,1996,30.180092,-85.621029
14876-540-000,2826  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2160,1,1997,30.180054,-85.621197
14876-541-000,2822  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2032,1,1997,30.180031,-85.621352
14876-542-000,2820  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2012,1,1997,30.180035,-85.621536
14876-543-000,2816  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1912,1,1997,30.180068,-85.621704
14876-544-000,2814  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2032,1,1997,30.180036,-85.621864
14876-545-000,2810  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2332,1,1996,30.180029,-85.622002
14876-546-000,2808  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1820,1,1997,30.180033,-85.622171
14876-547-000,2804  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1647,1,1997,30.180069,-85.622349
14876-548-000,2802  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1698,1,1997,30.179998,-85.622494
14876-549-000,2800  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2032,1,1995,30.179973,-85.622696
14876-550-000,2801  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1784,1,1995,30.180602,-85.622693
14876-551-000,2803  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2124,1,1996,30.180571,-85.622525
14876-552-000,2805  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2069,1,1996,30.180527,-85.622358
14876-553-000,2809  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1872,1,1997,30.180523,-85.622187
14876-554-000,2811  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2148,1,1997,30.180529,-85.622027
14876-555-000,2815  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2140,1,1996,30.180594,-85.621866
14876-556-000,2817  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1695,1,1997,30.18052,-85.6217
14876-557-000,2821  GWENDOLEN CT   PANAMA CITY 32405,COUNTY (008600),2332,1,1997,30.180555,-85.621546
14876-558-000,2823  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2049,1,1996,30.180534,-85.621368
14876-559-000,2827  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2140,1,1997,30.180555,-85.621221
14876-560-000,2829  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),1912,1,1997,30.180522,-85.621032
14876-561-000,2833  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2000,1,1997,30.180538,-85.620872
14876-562-000,2835  GWENDOLEN CT   PANAMA CITY 32405,SINGLE FAM (000100),2152,1,1997,30.180519,-85.6207
14876-576-000,2824  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1656,1,1998,30.180942,-85.620717
14876-577-000,2822  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2094,1,1997,30.1809,-85.620881
14876-578-000,2820  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2050,1,1998,30.180943,-85.621036
14876-579-000,2818  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2081,1,1998,30.180919,-85.621187
14876-580-000,2816  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2044,1,1998,30.180912,-85.621373
14876-581-000,2814  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1932,1,1998,30.180933,-85.621516
14876-582-000,2812  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2172,1,1998,30.180934,-85.6217
14876-583-000,2810  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1850,1,1998,30.180947,-85.621875
14876-584-000,2808  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2050,1,1997,30.180946,-85.622032
14876-585-000,2806  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2467,1,1998,30.180891,-85.622185
14876-586-000,2804  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2136,1,1997,30.180862,-85.622356
14876-587-000,2802  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2584,1,1997,30.180926,-85.622587
14876-588-000,2800  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1601,1,1998,30.181102,-85.622615
14876-589-000,2801  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2250,1,1998,30.181242,-85.622625
14876-590-000,2803  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1860,1,1998,30.181397,-85.622591
14876-591-000,2805  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2214,1,1998,30.181483,-85.622405
14876-592-000,2807  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2050,1,1998,30.181469,-85.622198
14876-593-000,2809  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1906,1,1998,30.181438,-85.622015
14876-594-000,2811  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2066,1,1998,30.181454,-85.62186
14876-595-000,2813  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2140,1,1998,30.181433,-85.621721
14876-596-000,2815  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2641,1,1998,30.181438,-85.621539
14876-597-000,2817  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1879,1,1998,30.18145,-85.621396
14876-598-000,2819  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2158,1,1998,30.181401,-85.621204
14876-599-000,2821  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2574,1,1998,30.181426,-85.621047
14876-600-000,2823  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),1953,1,1998,30.181402,-85.620875
14876-601-000,2825  KRYSTAL LEIGH CT   PANAMA CITY 32405,SINGLE FAM (000100),2108,1,1998,30.181437,-85.620719
14876-602-000,2824  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2052,1,1998,30.181831,-85.620729
14876-603-000,2822  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2082,1,1998,30.181868,-85.620884
14876-604-000,2820  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2473,1,1998,30.181863,-85.621046
14876-605-000,2818  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),1773,1,1998,30.181886,-85.621222
14876-606-000,2816  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2220,1,1998,30.181832,-85.621366
14876-607-000,2814  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),1879,1,1998,30.181851,-85.621524
14876-608-000,2812  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2118,1,1998,30.181867,-85.621709
14876-609-000,2810  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2038,1,1998,30.181849,-85.621855
14876-610-000,2808  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),1809,1,1998,30.181871,-85.622048
14876-611-000,2806  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2214,1,1998,30.181778,-85.622198
14876-612-000,2804  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2050,1,1998,30.181768,-85.622415
14876-613-000,2802  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),2172,1,1998,30.18186,-85.622599
14876-614-000,2800  TRACY LYNN CT   PANAMA CITY 32405,SINGLE FAM (000100),1729,1,1998,30.182049,-85.622566
